product_names,prices,category
Nestle Lion Caramel Breakfast Cereal 400 g,AED 19.95,Cereals
Nestle Fitness Granola With Honey Breakfast Cereal 450 g,AED 19.75,Cereals
Kellogg's Corn Flakes The Original 750 g,AED 30.80,Cereals
Kellogg's Coco Pops Chocos 20% Less Sugar 480 g,AED 26.95,Cereals
Familia Swiss Choco Bits 375 g,AED 22.95,Cereals
Kellogg's Corn Flakes The Original 375 g,AED 17.25,Cereals
Nestle Fitness Honey And Almonds Breakfast Cereal 355 g,AED 22.90,Cereals
Kellogg's Granola Mixed Fruit with Coconut 600 g,AED 32.50,Cereals
Heartland Corn Flakes 1.2 kg,AED 19.90,Cereals
LuLu Classic Corn Flakes 750 g,AED 18.50,Cereals
Nestle Cini Minis Cinnamon Breakfast Cereal 375 g,AED 19.95,Cereals
Kellogg's Granola Chocolate With Hazelnuts 600 g,AED 32.50,Cereals
General Mills Classic Trix 394 g,AED 32.95,Cereals
Kellogg's Granola Classic Oat Clusters 340 g,AED 22.95,Cereals
Nestle Fitness Granola With Cranberries & Pumkin Seeds Breakfast Cereal 450 g,AED 19.75,Cereals
Nestle Cheerios Multigrain Breakfast Cereal 375 g,AED 20.25,Cereals
Nestle Fitness Granola With Quinoa Almond & Chocolate Breakfast Cereal 450 g,AED 19.75,Cereals
Kellogg's Corn Flakes The Original 500 g,AED 21.95,Cereals
Kellogg's Rice Krispies Cereals 375 g,AED 23.95,Cereals
Kellogg's Corn Flakes Honey & Nuts 375 g,AED 22.25,Cereals
General Mills Cinnamon Toast Crunch 340 g,AED 24.00,Cereals
Kellogg's Frosties 750 g,AED 39.95,Cereals
Nestle Chocapic Chocolate Breakfast Cereal 375 g,AED 19.20,Cereals
Nestle Honey Cheerios Breakfast Cereal 375 g,AED 16.65,Cereals
Kellogg's Froot Loops 375 g,AED 26.50,Cereals
Kellogg's Crunchy Nut 500 g,AED 29.95,Cereals
Manna Cereals Mix 500 g,AED 16.50,Cereals
Kellogg's Granola Classic Oat Clusters 600 g,AED 32.50,Cereals
Kellogg's Special K Red Berries 500 g,AED 43.15,Cereals
General Mills Cheerios Toasted Whole Grain Oat Cereal 340 g,AED 33.90,Cereals
Essential Everyday Fruity Hoops Fruit Flavored Multi Grain Sweetened Cereal 345 g,AED 21.95,Cereals
Nestle Cookie Crisp Chocolate Chip Breakfast Cereal 375 g,AED 18.95,Cereals
Nestle Nesquik Duo Breakfast Cereal 335 g,AED 21.25,Cereals
General Mills Trix Corn Puffs 303 g,AED 24.95,Cereals
Weetabix Bran Flakes 500 g,AED 17.25,Cereals
Kellogg's Fruit n Fibre Cereal 500 g,AED 32.80,Cereals
Post Great Grains Cereal Raisins Dates Pecans 453 g,AED 25.95,Cereals
Dorset Cranberry Cherry & Almond Cereal 540 g,AED 33.10,Cereals
"Familia Youthful Pomegranate, Berries & Cocoa Flakes N Clusters Cereal 350 g",AED 20.50,Cereals
Quaker Crispy Cereal Oats & Honey 400 g,AED 18.70,Cereals
Futurelife Banana Flavour Smart Food 500 g,AED 14.50,Cereals
Kellogg's Coco Pops Jumbos Crispy Chocolate Maize Cereal 330 g,AED 22.10,Cereals
Alara Fruit & Nut Muesli 475 g,AED 19.95,Cereals
Jungle Muesli Nuts & Seeds 400 g,AED 16.50,Cereals
Familia Powerful Plant Protiens & Chocolate Flakes N Clusters Cereal 350 g,AED 20.50,Cereals
Kellogg's All-Bran Plus 375 g,AED 23.50,Cereals
Alpen Swiss Style Muesli The Original 375 g,AED 16.50,Cereals
Nestle Fitness Chocolate Breakfast Cereal 375 g,AED 23.25,Cereals
Somerset Super Cereals Honey Crunch 400 g,AED 13.95,Cereals
Signature Select Crispy Rice Toasted Rice Cereal 340 g,AED 14.50,Cereals
Kellogg's Frosties 35 g,AED 4.35,Cereals
Nestle KitKat Chocolate Breakfast Cereal Pack 330 g,AED 19.25,Cereals
Heartland Multigrain Flakes Cereal 350 g,AED 14.90,Cereals
General Mills Cinnamon Toast Crunch Cereal 303 g,AED 33.25,Cereals
Bokomo Weetbix Wholegrain Wheat Biscuits 450 g,AED 14.00,Cereals
Breakfast Energy Muesli With Fruit 375 g,AED 13.50,Cereals
Great Indian Food Sprouted Ragi Cereal 300 g,AED 14.50,Cereals
Post Great Grains Cereal Raisins Dates Pecans 453 g,AED 25.95,Cereals
Dorset Cranberry Cherry & Almond Cereal 540 g,AED 33.10,Cereals
"Familia Youthful Pomegranate, Berries & Cocoa Flakes N Clusters Cereal 350 g",AED 20.50,Cereals
Quaker Crispy Cereal Oats & Honey 400 g,AED 18.70,Cereals
LuLu Muesli Choco 750 g,AED 22.95,Cereals
Kellogg's Fruit N' Fibre 375 g,AED 28.75,Cereals
Post Honey Bunches of Oats Honey Roasted Cereal 340 g,AED 22.50,Cereals
Bob's Red Mill Organic Creamy Buckwheat Hot Cereal 510 g,AED 46.95,Cereals
Post Honey Bunches Of Oats Vanilla Flavor Cereal 340 g,AED 22.50,Cereals
Fit & Flex Muesli Nuts About Nuts 450 g,AED 23.25,Cereals
Dorset Cereals Fruit Nuts & Seeds 560 g,AED 30.30,Cereals
Dorset Cereals Simply Fruity Muesli 620 g,AED 24.95,Cereals
